event_index,event_title,core_objective,canon_attributes,event_text_verbatim
10,Jaxton sets up and group explores,"while Jaxton sets up the game, Kelly detects the house as an active, listening appearance, shifting the exploration from casual banter into real supernatural unease.","Objects: Jaxton is in the parlor unpacking terrain and dice to set up the game, Wesley, Holly, Maverick, Lucas, and Kelly are present in the house and begin exploring with flashlights, Kelly’s watch ticks once and the time shown is 9:13, The house is characterized as watching and exhaling (an implied sentient appearance within the scene) | Other: Kelly studies the wallpaper and observes a faint black stain that pulses outward, then vanishes, Kelly quietly states, ""The house is already listening"", The environment is described as cracked wallpaper and warped wood","Jaxton moves to the parlor, begins unpacking terrain and dice.
JAXTON
I’ll set up here. You guys should
explore.
WESLEY
Yeah, get the vibe. Ghost tour
before initiative.
HOLLY
Let me know when I need to seduce
something incorporeal.
MAVERICK
If I die before round one, I’m
haunting your dorm.
LUCAS (to Kelly)
Anything yet? Ectoplasmic mildew?
Kelly studies the wallpaper. A faint black stain pulses outward, Atramentus has tasted blood, then vanishes. Her watch ticks once. 9:13.
KELLY (quiet)
The house is already listening.
The others move, flashlights sweeping across cracked wallpaper, warped wood.
The house exhales. Watching. Wait"
11,Tour montage triggers staged scares,the haunted-house tour as a producer-rigged jump-scare bit while introducing the first concrete sign that something may be real: Maverick discovers a cracked sat phone smeared with blood.,"Persistent conditions: The sat phone is cracked and smeared with blood | Objects: Wesley states they rigged jump scares for the tour, Maverick opens a pantry door and finds rotting food arranged like a dinner party; a silver spoon glints in mold; he gags, Maverick finds a sat phone on the pantry floor, Maverick suspects the streams were faked based on the sat phone discovery | Other: Wesley narrates in voiceover as host of ""Nerds in the Wild"" (haunted edition), Holly opens a dusty music box in a child’s bedroom; cold air blasts from a hidden vent; she recoils and shrieks; she threatens to walk if hit again, Lucas examines oil paintings in a hallway; a distorted whisper plays from a speaker above","INT. VARIOUS ROOMS – REALITY - TOUR MONTAGE
WESLEY (V.O.)
Welcome to ""Nerds in the Wild"" —
haunted edition. Watch our brave party wander deeper into regret.
(beat) (MORE)
CUT TO:
17.
WESLEY (V.O.) (CONT'D) We rigged enough jump scares to
make them question every life choice.
– Holly opens a dusty music box in a child’s bedroom. The broken ballerina spins once, A BLAST OF COLD AIR shoots from a hidden vent. She recoils, shrieking.
HOLLY
Swear to god—next next one of these
hits me, I’m walking.
– Lucas traces oil paintings in the hallway. One shows a smiling family. As he brushes another, a DISTORTED WHISPER hisses from a speaker above.
LUCAS
Cool. Haunted house ASMR.
– Maverick opens a pantry door. Inside: rotting food arranged on overturned plates like a dinner party. A silver spoon glints in mold. He gags.
Nasty.
MAVERICK
He turns to leave, stops. On the floor, a SAT PHONE. Cracked. Blood smeared.
MAVERICK (CONT’D) (to himself)
Knew they faked their streams."
12,Sat phone found; blood shows real,"a hidden sat phone has been discovered near the pantry and that the blood used in the setup is shows to be real, undermining the assumption that everything is staged.","Location: INT. PARLOR - REALITY | Persistent conditions: Kelly states the blood is real, Wesley attributes the blood effect to Billy being ""a pro"" and mentions Billy will check in tomorrow | Objects: Maverick finds a phone near the pantry and tosses it to Wesley, The phone is dead when Wesley tries to turn it on, Wesley hands the phone to Kelly | Other: Maverick, Wesley, and Kelly are present with the group regathered","INT. PARLOR - REALITY – MOMENTS LATER
The group regathers. Maverick tosses the phone to Wesley.
MAVERICK
This yours? Found it near the
pantry. Nice touch with the blood. Wesley, caught off-guard, covers with a grin.
WESLEY
Must’ve dropped it on walkthrough.
He tries to turn it on. Dead. Hands it to Kelly.
KELLY (low)
That’s blood. Real.
18.
WESLEY
Billy’s a pro. Said he’d check in
tomorrow. We’ll deal with it the"
13,Polaroid states; Kelly warns it's real,something in the location is not make-believe by ing Jaxton's hidden “REMEMBER” Polaroid and having Kelly explicitly warn the group that the place retains real trauma/regret.,"Objects: Jaxton flattens the game map on the table and handles his notes/notebook, A Polaroid slips from Jaxton’s notes showing “JAXTON + LUCY, age 10” at a flashlight campfire, Kelly is wiring microphones/mics and speaks calmly but coldly, Kelly states that not everything there is make-believe and that some places “remember” (regret/trauma/things that didn’t end right) | Environmental conditions: Wesley references a prior asylum shoot where gear glitched and shadows moved, and says they did not fake it | Other: Characters present: Lucas, Jaxton, Kelly, Wesley, Maverick, Holly, The Polaroid has “REMEMBER” scribbled on the white border, Jaxton quickly palms the Polaroid back into his notebook (attempting to hide it)","LUCAS
If this place had a therapist, they
fumbled their roll.
Jaxton flattens the game map on the table. His hands steady, too steady.
A POLAROID slides free from his notes: JAXTON + LUCY, age 10, flashlight campfire. On the white border, a scribble, “REMEMBER.”
He palms it back into the notebook.
JAXTON
Then it's working. The immersion.
Atmosphere. You're unsettled. You're inside the world now.
KELLY
(without looking up)
Not everything here is make- believe.
Everyone glances at her. She keeps wiring mics, calm but cold.
WESLEY (chiming in)
We did that asylum shoot last year, same vibe. Gear glitched, shadows moved, half the chat thought we faked it.
(beat) We didn't.
Maverick smiles, doubt on his face.
KELLY
You don’t need to live somewhere to
connect with what’s soaked in. (beat)
Some places remember better than people do.
HOLLY Remember what?
KELLY
Regret. Trauma. Things that never
ended right."
14,Wesley plays it off; chat reacts,Wesley deflects concern by framing Kelly's behavior as an in-character gag while the livestream chat intensifies suspicion that something is wrong.,"Objects: Wesley addresses the camera and asks viewers to comment about Kelly being scary, Jaxton is present and spreads out dice and miniatures | Other: Maverick asks Wesley if Kelly’s behavior is “part of the bit”, Wesley refers to Kelly as already “NPC-ing the house”, Livestream chat visibly reacts with messages ing Kelly is possessed or that it isn’t scripted","MAVERICK (to Wesley)
Okay, is that like, part of the bit?
WESLEY
Roll her in, DM. She’s already NPC-
ing the house. (to camera)
Drop a comment if Kelly’s already the scariest thing in here.
LIVESTREAM CHAT LIGHTS UP:
**”KELLY IS POSSESSED???”**
**""she's not acting. i'm calling it.""** **”this isn't scripted. no way.”** Jaxton spreads dice and minis.
JAXTON
She’s in. We roll in fi"
15,Toast begins toast; sixth chair issue,"The group initiates their pre-game toast/toast and notices an unexplained sixth chair, while Jaxton alone receives a brief glitched-stream message that frames the coming story as a costly toast.","Objects: Holly produces a silver flask from her bag, drinks from it, and passes it to Jaxton | Environmental conditions: Players seated at a table under a faint, buzzing chandelier light, From Jaxton’s POV, the stream glitches and briefly shows an old-school Game Master screen | Other: Group raises drinks and toasts: “To chaos. To summer. To stories that end better than they started.”, Kelly silently takes the fifth chair, There are six chairs present at the table; the group remarks that with Kelly playing there should be five, Lucas refuses to sit in the extra chair, A lower-third message appears to Jaxton only: “Start a story. states the wound. Pay the cost. Only then can you end it.” and vanishes before anyone else notices","The players settle into their seats. The table glows under the chandelier's faint, buzzing light. The mood shifts, nervous energy giving way to something looser.
Holly unzips her bag and pulls out a silver flask.
HOLLY
Don’t ask what’s in it. Just know
it'll make you braver.
She unscrews the cap and takes a sip. Passes it to Jaxton.
JAXTON To one last story.
MAVERICK
The official potion of courage.
LUCAS
Just mushrooms tonight. Back on
meds.
WESLEY (to camera)
For legal reasons, this is all soda.
Holly raises her flask. Everyone lifts their drink, cans, bottles, imaginary goblets.
20.
HOLLY
To chaos. To summer. To stories
that end better than they started.
They clink. The ritual begins. Kelly slides into the fifth chair without a word.
There are SIX chairs.
HOLLY (CONT’D)
Wait. If she’s playing should be
five, right?
JAXTON Yeah. I—I guess.
LUCAS
Okay. I’m not sitting in that one.
MAVERICK
What if it rolls better than you?
Nervous laughter.
JAXTON’S POV: The stream glitches. For a moment, an old- school Game Master screen flickers onscreen, then vanishes.
LOWER-THIRD: “Start a story. Reveal the wound. Pay the cost. Only then can you end it.” It disappears before anyone else notices. - END POV."
16,Game starts; eerie feed and chair apparition,"the tabletop game session and states the first unmistakable supernatural intrusion via an anomalous die roll and a brief, unseen apparition in a sixth chair.","Location: a tabletop RPG setup with chandelier overhead, dice and miniatures arranged | Objects: Wesley is operating a shoulder-mounted camera rig; the feed flickers, Jaxton rolls a D20; it spins unusually long and lands on thirteen, In a single flicker/static frame of the camera feed, someone is briefly seen sitting in a sixth chair; then the chair is empty | Environmental conditions: Players introduce characters: Korgoth Stormjaw (half-orc barbarian), Syla Veilshade (drow rogue), Elowyn Lightfoot (halfling bard), Kelly plays a witch with a familiar described as a spirit, The chandelier sways with no wind and then jerks to a stop | Other: Characters present: Jaxton (GM), Maverick, Holly, Lucas, Kelly, Wesley, No one at the table notices the sixth-chair figure in the moment","The chandelier SWAYS. No wind.
Jaxton finishes arranging the dice and miniatures.
JAXTON
Alright, party. For the viewers and
for each other, name, class, race, and a little flavor. Let's meet the heroes.
MAVERICK
(booming, mock-theatrical)
Korgoth Stormjaw, half-orc barbarian. Raised by wolves. Punches gods for fun. Loves puppies.
HOLLY (grinning)
Syla Veilshade. Drow rogue. Escaped the Underdark with nothing but sass and a poison kit.
21.
LUCAS (clearing throat)
Elowyn Lightfoot, halfling bard. Former tavern singer turned reluctant hero. Special move, seduction and scream ballads.
JAXTON (nodding)
I'll be guiding the journey. You'll meet my NPCs and monsters along the
way.
(to Kelly)
You?
I'm a witch. My familiar's a spirit with a long memory and bad manners.
WESLEY (to camera)
Not ten minutes in and she’s already breaking the fourth wall.
JAXTON
Here we go, lets see where you all
start tonight.
Jaxton rolls a D20. It bounces once, spinning it should. Too long.
WESLEY (to camera)
Is that... normal?
The twenty-sided die settles. THIRTEEN.
KELLY (flat)
The camera feed on Wesley's shoulder rig flickers.
In one frame, a flash of static, there's someone SITTING IN THE SIXTH CHAIR. Then it's empty again. NO ONE NOTICED.
The chandelier above JERKS TO A STOP."
17,Something sits; blackout and watch ticks backward,"a sudden supernatural intrusion in the clearing that intensifies the group's fear, culminating in an unnatural blackout and a pocket watch beginning to tick backward.","Objects: Flashlights are present and cast long shadows, Kelly’s pocket watch ticks and begins to go backward, Maverick readies a great axe | Environmental conditions: Moonlight filters through twisted trees, A distant howl is heard, The lights shimmer unnaturally, A blackout occurs | Other: Jaxton addresses the player-character in a quiet clearing, The player-character feels observed, Nervous laughter is heard from around a table, A loud creak occurs, A blurred, still ""something"" sits at the sixth chair, Lucas speaks: ""Tell me someone else saw that.""","JAXTON
You stand in a quiet clearing.
Moonlight cuts through twisted trees. You feel... observed.
Flashlights cast long shadows. Nervous laughter from around the table.
far longer than
22.
MAVERICK
I ready my great axe!
JAXTON
A distant howl breaks the silence.
LOUD CREAK. SOMETHING sits at the sixth chair. Blurred. Still.
LUCAS
Tell me someone else saw that.
The lights shimmer unnaturally— BLACKOUT.
Kelly’s pocket watch TICKS. BACKWA"
18,Power snaps back and map changes,"the haunting has intruded into the game space by restoring power with strobing fear, ing an impossible sixth-chair boy on playback, and physically rewriting the campaign map as unusual noises begin upstairs.","Persistent conditions: The game map has changed to include new rooms and a tower, with the script rewritten in bleeding ink | Objects: Jaxton finds the D20 split into scattered pieces; he holds/examines it and notes it is not part of the campaign, Wesley rewinds his camera rig and finds a still frame showing a blurred boy occupying a sixth chair, mouth open and hollow, Kelly’s watch ticks and displays “23”, A door creaks open upstairs followed by heavy footsteps | Environmental conditions: Power returns suddenly with flashing/strobing light, A loud thump echoes through the house; the stairs are pitch black, Livestream chat messages react to six shadows, a kid in the chair, and the broken/cursed die, Holly asks if the sound is Wesley’s audio loop, Lucas proposes checking upstairs and says it’s probably house settling/pipes | Other: Brief glimpse of an open mouth described as hollow with bone dust, Kelly says, “It’s how it comes through.”, Jaxton reads: “Wherever the story finds a wound... it grows.”, Wesley addresses the livestream, asks to timestamp the noise, and jokes about “unexplained points” for spotting the ghost kid","The power SNAPS back. Flashing, everyone's strobing glimpses. FEAR.
Jaxton checks the dice tray. The D20 SPLIT scattered.
JAXTON (confused, to himself)
This isn't part of the campaign.
Beat- He examines the split D20 behind the looks towards the others, not knowing what
face in brief OPEN. Bone dust
DM screen, and to say.
Wesley rewinds his rig. Zooms. In a still frame, the sixth chair, OCCUPIED. A BOY. Blurred. Mouth open. Hollow.
Wesley leans in, speechless.
KELLY
It’s how it comes through.
The game map has CHANGED. New rooms. A tower. A script rewritten in bleeding ink.
JAXTON (reading)
“Wherever the story finds a wound... it grows.”
A LOUD THUMP echoes through the house. The stairs, pitch black. Kelly’s watch TICKS again.
23.
A DOOR CREAKS OPEN upstairs. HEAVY FOOTSTEPS. Silence presses.
WESLEY (to camera)
And that’s our first official unexplained noise. Timestamp it.
(grinning)
Paranormal points if you caught the ghost kid in the chair.
LIVESTREAM CHAT EXPLODES:
**“SIX shadows. Count them.”** **""Whose kid is that???""**
**“Bro broke a cursed die.”**
**“I think the game’s playing YOU.”**
HOLLY (to the group)
Please tell me that's Wesley's audio loop.
LUCAS
(working to impress Holly)
It's probably nothing. House settling. Pipes. I'll check it out.
Everyone stares at him.
HOLLY
We just got the crap scared out of
us and your move is split the"
19,Lucas goes upstairs to investigate,Lucas's solo ascent into the dark upstairs while the livestream audience and the group begin to suspect an unseen appearance is behind him.,"Objects: Lucas heads toward and ascends the staircase alone holding a flashlight, The upstairs staircase/hallway is dark and claustrophobic, with creaking steps, closed doors, peeling wallpaper, warped mirrors, dust-coated portraits, and one door ajar at the end, Wesley is in the parlor in host mode, filming with a shoulder rig and addressing the livestream while holding up a D20 die | Environmental conditions: The livestream chat posts warnings about a non-player figure/""monster"" behind Lucas on the stairs and calls out a specific timestamp/rewind | Other: Lucas speaks to himself that it is ""just an old house"", Kelly freezes and leans toward the monitor, focusing on what the chat is pointing out"," party and ""Scooby-Doo"" it?
LUCAS
I’ll scream if I get eaten.
HOLLY Lucas—
He heads toward the stairs. Flashlight cutting through the dark.
CUT TO:
24.
INT. STAIRCASE – REALITY – CONTINUOUS
Lucas ascends. Each step CREAKS like a warning. The walls tighten around him, close, suffocating. His flashlight shakes in his hand.
LUCAS
(soft, to himself)
Okay, just an old house.
Closed doors line the hallway. Peeling wallpaper. Warped mirrors. Dust coated portraits. At the end, one door ajar.
He walks toward it.
INT. PARLOR – REALITY – SAME TIME
CUT TO:
Wesley in full host mode, shoulder rig aimed like a spotlight.
WESLEY (to camera)
Alright, weirdos, our Bard Lucas is entering unknown territory. If he dies, it's because he didn't roll a D20.
(holding up a D20 die)
And let the Dungeon Master know he was going to use his characters perception skill to check if there is a monster upstairs.
THE LIVESTREAM CHAT ERUPTS:
**""WHO TF IS THAT ON THE STAIRS?""** **""Behind him—a monster. BEHIND HIM.""** **""Rewind. Timestamp 41:07.""**
**""Yo that's not one of the players.""**
Kelly freezes. Her eyes narrow. She leans in, fingers brushing the edge of the monitor like she's trying to connect with the"
20,Feed rewind states figure behind Lucas,"a supernatural figure is already present and attached to Lucas by ing, on the rewound feed, a distorted figure behind him that Kelly identifies as a feeder.","Objects: Kelly is present and states that something is already there watching Lucas | Environmental conditions: Onscreen shows Lucas on the stairs, A distorted, too-tall, too-still humanoid shadow-figure is visible behind Lucas on the feed | Other: Wesley scrubs the video feed back and pauses it, The figure appears vibrating/distorted with limp, wrong limbs, A tendril of dark smoke is shown in reverse rising and slithering toward Lucas’s back, Kelly identifies the figure as “a feeder”"," houses energy.
KELLY (low)
Something’s already here. Watching him.
25.
Wesley scrubs the feed back. Pauses. Onscreen: Lucas on the stairs.
Behind him, a FIGURE. Too tall. Too still. Distorted, vibrating. Limbs limp, wrong. A smear of humanoid shadow. A tendril of dark smoke rises in reverse, slithering toward Lucas’s back.
KELLY (CONT’D) (quiet)
It’s a feeder"
21,Lucas trapped in altered hallway rooms,"Trap Lucas in a supernatural, age-labeled hallway that forces him into escalating childhood-memory confrontations centered on Jonah, ending with Lucas facing a flooded-room body bag and Jonah accusing him.","Objects: Lucas enters a doorway into an altered-reality space; the door slams and is replaced by a solid wall (no exit visible), Lucas’s flashlight dies shortly after entry, Multiple doors line the hall, labeled in childlike scrawl: “AGE 8,” “AGE 9,” “AGE 10,” “AGE 11”, The “AGE 8” door is locked, A child’s laugh/voice is heard from behind the “AGE 9” door, The “AGE 10” door creaks open into an altered room depicting a summer-day scene with two bikes, a path toward a lake, and two boys (ten-year-old Lucas and Jonah) laughing in the distance, Lucas stumbles out of the “AGE 10” room and its door slams shut behind him, The “AGE 11” door is open and Lucas is pulled inside, The “AGE 11” room is a flooded basement with water at Lucas’s ankles; his flashlight flickers there | Other: A narrow hallway is styled like a child’s bedroom with faintly pulsing pastel wallpaper, Lucas has a medication bottle in his pocket and reaches for it while trembling, The “AGE 10” scene stutters like an old VHS; Lucas experiences a flash of water/splashing/gasping and Jonah screaming, A child-sized body bag is present in the center of the flooded basement, Jonah’s voice addresses Lucas (“It was your idea”) while Lucas responds that he didn’t know and was a kid, The body bag twitches","Lucas pushes the door open. Dim light. Air colder.
LUCAS
Time to prove ghosts aren’t real.
He steps in. The DOOR SLAMS behind him. He spins— No door. Just wall.
His flashlight dies.
Ahead, a narrow hallway, lined like a child’s bedroom. Pastel wallpaper pulses faintly, like it’s breathing. Each door labeled in a child’s scrawl: “AGE 8.” “AGE 9.” “AGE 10.” “AGE 11.”
Lucas walks slowly, panic washes over him.
LUCAS (CONT’D) This isn’t real.
He tries the “AGE 8” door. LOCKED.
He passes “AGE 9.” A soft laugh from behind the door, unmistakably a CHILDS VOICE.
Lucas freezes. Shakes. A hand reflexively goes to his medication bottle in his pocket.
His fingers tremble.
He reaches “AGE 10.” The door CREAKS OPEN.
CUT TO:
26.
INT. AGE 10 ROOM – ALTERED REALITY
A perfect recreation of a summer day. Two bikes lie in the grass. A dirt path winds toward a nearby lake.
In the distance, two boys laugh, ten-year-old Lucas, and another boy, JONAH.
-suddenly, the scene STUTTERS, like an old VHS tape.
MEMORY FLASH: Water. Splashing. Gasping. Jonah SCREAMS. Lucas grabs his ears. Closes his eyes.
He stumbles backwards out of the room. The door slams shut.
INT. HALLWAY – ALTERED REALITY
The “AGE 11” door yawns open. Darkness inside. He’s pulled in.
INT. AGE 11 ROOM – ALTERED REALITY
A flooded basement. Water at his ankles. Flashlight flickers. In the center, a CHILD-SIZED BODY BAG.
He approaches.
JONAH (O.S.) It was your idea.
Lucas stares.
LUCAS
I didn’t know... I was just a
kid...
The bag TWITCHES. Lucas "
22,Group debates feeder and continues game,"the group chooses to continue the game despite Lucas's absence, while the house asserts explicit story-rules and Kelly identifies the threat as a “feeder” that clings to people and feeds on fear.","Persistent conditions: Holly asks what a “feeder” is; Kelly answers it is a parasitic demon tied to people (not places) that burrows into fear | Objects: Lights buzz; the dice are present and remain still | Other: The group is seated together at the table with unease high, A monitor is frozen with a distorted figure visible on it, Jaxton is acting as game leader and pushes the group to keep playing; he flips through notes and resumes narration, The livestream is active; chat messages appear reacting to Kelly and noting Lucas is not in frame, Lucas is absent from the room during this event and has been gone “too long” per Holly, Glowing words appear carved into the table stating rules: “Start a story. states the wound. Pay the cost. Only then can you end it.”, Kelly recognizes the rules and says she has seen this before; she states the spirit wants a story it hasn’t heard, Holly agrees they should give the spirit a story “worth remembering”","The group sits, tension thick. The monitor is frozen, the distorted figure still visible.
JAXTON
Okay, it's just the mushrooms. We
breathe. We play. That's the deal.
27.
HOLLY (to Kelly)
What’s a feeder? Kelly stares at the static.
KELLY
Parasitic demon. I’ve seen
sketches, Rookwell Archive. Mercer case.
(beat)
It doesn’t haunt places. It clings to people. Burrows into fear.
MAVERICK
We just started and you’re already
dropping demon lore? Solid. (to camera)
Y’all buying this? LIVE STREAM CHAT EXPLODES: **""Kelly is NOT acting.""**
**""Lucas isn’t in frame anymore.""** **""This is real.""**
HOLLY
He’s been gone too long.
Jaxton’s mask slips. He tries to stay in control.
JAXTON
We check if he’s not back in five.
Let’s keep moving.
He flips his notes. Breathing steady.
JAXTON (CONT’D)
You stand at the edge of a dense
forest. A howl echoes in the dark.
They settle, but tension bristles. A faint glow lights up words carved into the table: “Start a story. Reveal the wound. Pay the cost. Only then can you end it.”
KELLY (quiet, shaken)
I’ve seen this before... the rules are always the same.
They glance at her.
28.
KELLY (CONT’D)
This spirit wants a story it hasn’t
heard.
The lights buzz again. The dice rest still.
HOLLY
Then let’s give it one worth
remembering.
INT. HALLWAY – "
23,Lucas confronts Jonah and falls downstairs,"Lucas is experiencing a direct, physically disruptive haunting centered on Jonah, culminating in his fall and his insistence that they continue the game despite what he saw upstairs.","Objects: The door in front of Lucas is initially wide open, then slams shut, In the parlor, Holly, Jaxton, and Maverick rush in with flashlights; Maverick and Jaxton help Lucas to his feet, Lucas is pale, unsteady, but upright; he says he slipped | Environmental conditions: Lucas pauses at the stairs and sees a fast “shadow blur” cross behind him, Lucas slips and crashes down the stairs, Lucas states it wasn’t empty upstairs and attributes events to “the mushrooms,” urging them to keep playing | Other: Lucas crashes into a full-length mirror and sees his reflection as a ten-year-old boy, The reflected boy points behind Lucas, Jonah appears inches away, soaking wet and expressionless, and asks Lucas why he didn’t help him, The hallway visually collapses and the scene snaps to “HALLWAY – REALITY” with Lucas on the floor drenched in sweat, A pill bottle is open and pills are scattered beside Lucas; he panickedly scoops them up","Lucas crashes into a full-length mirror. He steadies himself, panting. His reflection stares back, ten years old. The boy raises a finger, pointing behind him.
Lucas turns.
JONAH, soaking wet and expressionless, stands inches away.
JONAH
Why didn’t you help me?
The hallway COLLAPSES like a folding map.
INT. HALLWAY – REALITY – CONTINUOUS
Lucas lies on the floor, drenched in sweat. The door before him wide open. Pills scatter from a bottle beside him. Panicked, he scoops them up. The door SLAMS shut.
He runs, pauses at the stairs. A SHADOW BLUR crosses behind him. Fast. Wrong.
Lucas gasps, slips, and CRASHES down the stairs.
INT. PARLOR – REALITY - CONTINUOUS
The group rushes in, flashlights jittering.
HOLLY Lucas!
JAXTON You okay?
Lucas groans, sits up with effort.
29.
LUCAS I... I slipped.
Maverick and Jaxton help Lucas to his feet, quick, concerned, hands on his arms. He's pale and unsteady but upright.
They cross back to the table slowly.
HOLLY (soft)
Please sit.
Lucas settles into his seat. His eyes drifting.
Silence.
HOLLY (CONT’D) (relieved)
There he is.
LUCAS (quietly)
It wasn’t empty upstairs.
LUCAS (CONT’D) (shaken)
Has to be the mushrooms... let’s just play."
24,Map states Holly’s name and shifts,the game artifacts are supernaturally personal and responsive by ing Holly's erased name on the map and showing the map's ink shift to a new message in real time.,"Objects: Wesley addresses the livestream camera and tilts it to show the table/map, Jaxton is running the game and reading from a map/notebook; the notebook contains lines in his handwriting that he says he did not write, Holly’s character name “Syla Veilshade” appears crossed out/scratched out on the map/stone described in the narration, and Holly states she never told Jaxton that name, Kelly has a cracked watch; its second hand ticks backward, and its ticking is emphasized as the room goes silent, The map ink shifts in real time and new text appears: “The story remembers what you forget.”, The livestream chat reacts on-screen to the map’s changing line, Maverick rolls a D20 and gets a natural twenty (critical success), briefly easing unease, In Jaxton’s narration, a statue points at Maverick and then is described as holding a sword after a blink; Wesley calls out the statue movement on camera | Environmental conditions: A groan comes from under the floorboards and Kelly stiffens | Other: Holly shares a specific childhood memory of drawing a wall of names in grief counseling, with her own name scratched out, A wordless child’s lullaby hums from the walls during the scene","WESLEY (to camera)
Back from the House of Emotional Doom, our Bard returns. First to maybe get ghost-tapped.
Jaxton, lingers over the map, his eyes scanning it again. It's wrong. Not just the writing. Something about it feels personal.
JAXTON
Alright. The party descends into
the undercroft of a ruined chapel. The air is wet. Heavy. There's a pulpit made of... teeth and the name Syla Veilshade is crossed out in the stone?
He flips his notebook. Every line written in his handwriting, but not by him.
HOLLY
Wait, what did you just say?
30.
JAXTON
Your character’s name. On the wall.
HOLLY (quiet)
I never told you that.
JAXTON Told me what?
HOLLY
When I was thirteen... grief
counseling. I wouldn’t speak. They had me draw.
(beat)
I drew a wall. With names. Mine was scratched out.
Beat. Silence crashes, they all look at one another, uncomfortable.
JAXTON
It’s on the map. Same name. Same
scratch.
HOLLY
Perfect... mushrooms, whiskey, and
childhood trauma. Delightful.
A CHILD’S LULLABY HUMS from the walls. Haunting. Wordless.
LUCAS (nervous)
Is that the house or the wifi?
KELLY (low)
It’s looking for a way in.
MAVERICK (to Kelly)
Really? We’re doing this all night? We know Wesley rigs this stuff.
Kelly glances at her cracked watch, the second hand TICKS BACKWARD.
WESLEY Look at the table.
He tilts the camera. The MAP INK SHIFTS IN REAL TIME. A stain blooms. New text appears: “The story remembers what you forget.”
31.
THE LIVESTREAM CHAT LIGHTS UP:
**""wait was that line there before?""**
**""this just stopped being funny.""**
**""someone screen record this.""**
They all stare. No one speaks.
The only sound is the soft TICK of Kelly's watch.
WESLEY (CONT’D) (to camera)
After a haunted intermission, we continue. Bets on who dies first?
JAXTON (resets)
The corridor opens into a massive crypt. Sarcophagus center. Hooded statues line the walls. Faceless
HOLLY Ominous.
JAXTON
You hear breathing. No one’s near.
MAVERICK I roll perception.
He rolls a D20 die. TWENTY. A critical success.
MAVERICK (CONT’D) Boom. Nat twenty, baby.
A few small laughs. The tension dips—just for a second.
JAXTON
One statue... points at you.
MAVERICK
Like it's about to give me a quest
or attack the party?
JAXTON
You blink and it now holds a sword.
WESLEY
Timestamp that weirdos. Statue just
moved and pulled a weapon.
A GROAN under the floorboards. Kelly stiffens."
25,Kelly states watch and Puck origin,"Kelly's cracked watch is bound to an figure she calls Puck, states its origin after the school fire, and reframe it as an unpredictable force that marks a cost rather than a straightforward protector.","Persistent conditions: Kelly identifies a parasitic demon in the house called a ""feeder"" (distinct from the spirit tied to her watch) | Objects: Kelly possesses a cracked pocket watch and places it on the table, An figure called ""Puck"" is explicitly named as being chained to the watch (not to Kelly), Kelly states the watch finds someone and Puck finds them, Flashback: eight-year-old Kelly is alone in an abandoned elementary school holding a still-ticking pocket watch, Flashback: Puck communicates via a voice from the watch, Flashback: Kelly offers a crayon drawing labeled ""Thanatos"" in a trade; Puck says Kelly is ""the door"" and ""the witness"", Kelly states Puck is sometimes protective, other times ""just watches,"" and that he ""marks"" and ensures the story ""costs something"" | Other: Characters present in the parlor: Kelly, Lucas, Wesley, Jaxton, Maverick, Flashback: Kelly survived a school fire at age eight; Puck came to her afterward","LUCAS
What the hell was that?
KELLY
Malignant energy. Restless. Feeds
on fear and regret. All eyes shift to her.
WESLEY
The spirit you said is tied to your
watch?
KELLY
No, the parasitic demon in this
house. It’s called a feeder.
JAXTON
Wait, so you’re attached to a
spirit in your watch?
MAVERICK Yeah that tracks!
KELLY
He’s not chained to me. He’s
chained to the watch. The watch finds someone, and he finds them...
(beat)
I’ve never told anyone this before.
She places the cracked watch on the table.
KELLY (CONT’D) I call him Puck.
MAVERICK What, like a fairy?
KELLY
He came to me after the school fire
I survived when I was eight.
FLASHBACK – INT. ABANDONED ELEMENTARY SCHOOL – DAY
Eight-year-old KELLY SHEAR sits alone. Her hands clutch a pocket watch. Still ticking. She isn’t hiding. She’s waiting.
SMASH TO:
33.
KELLY (V.O.)
The first time, I thought he was a
dream. The last time... I knew better.
A flicker. A shape forms in the shadows.
KELLY
You don’t scare me anymore.
The air shimmers. The shape twitches.
KELLY (V.O.)
He didn’t come to hurt me. He came
to trade.
She kneels. Offers a crayon drawing, a boy, “Thanatos.”
KELLY
He was my friend. You took him. You
can take me too. A voice from the watch.
PUCK (O.S.)
You were never the offer. You were
the door. You’re the witness.
The shape steps forward, TEETH MADE OF TIME. Kelly’s eyes go wide—
INT. PARLOR – REALITY - SAME TIME The group sit silent, unnerved.
LUCAS Jesus...
JAXTON
And this Puck, it’s your
protector?
KELLY
Sometimes. Other times, he just...
watches. He’s not a savior. He marks. He makes sure the story costs something.
MAVERICK
And you brought that into this
house?
SMASH BACK TO:
34.
KELLY He follows"
